,Year,Month,Millions of Gallons,Day
0,2011,1,6145.24,1
1,2011,2,5591.28,1
2,2011,3,6888.04,1
3,2011,4,7834.14,1
4,2011,5,9577.58,1
5,2011,6,10679.79,1
6,2011,7,11127.25,1
7,2011,8,10994.58,1
8,2011,9,10113.43,1
9,2011,10,9420.2,1
10,2011,11,6873.35,1
11,2011,12,5785.51,1
12,2012,1,5892.14,1
13,2012,2,5813.76,1
14,2012,3,6656.34,1
15,2012,4,7828.9,1
16,2012,5,9705.42,1
17,2012,6,10636.87,1
18,2012,7,10620.65,1
19,2012,8,10199.02,1
20,2012,9,8751.17,1
21,2012,10,9106.48,1
22,2012,11,7534.74,1
23,2012,12,6203.84,1
24,2013,1,5749.06,1
25,2013,2,5242.05,1
26,2013,3,6471.46,1
27,2013,4,7649.11,1
28,2013,5,9558.0,1
29,2013,6,10666.77,1
30,2013,7,10623.849,1
31,2013,8,10234.852,1
32,2013,9,8665.64,1
33,2013,10,8888.001259,1
34,2013,11,6902.094,1
35,2013,12,5940.543,1
36,2014,1,6001.04,1
37,2014,2,5698.08,1
38,2014,3,6655.29,1
39,2014,4,7875.262,1
40,2014,5,9497.41,1
41,2014,6,10555.158,1
42,2014,7,10847.2259,1
43,2014,8,9439.92,1
44,2014,9,8085.57,1
45,2014,10,8039.8117,1
46,2014,11,7318.239,1
47,2014,12,5894.9359,1
48,2015,1,5796.717,1
49,2015,2,5337.0,1
50,2015,3,6728.517,1
51,2015,4,7800.66,1
52,2015,5,8404.49,1
53,2015,6,9658.89,1
54,2015,7,10626.27,1
55,2015,8,10607.74,1
56,2015,9,8872.79,1
57,2015,10,8455.32,1
58,2015,11,6831.5,1
59,2015,12,6231.16,1
60,2016,1,5653.66,1
61,2016,2,5823.04,1
62,2016,3,7191.99,1
63,2016,4,7692.9,1
64,2016,5,9053.76,1
65,2016,6,10607.25,1
66,2016,7,11060.39,1
67,2016,8,9898.17,1
68,2016,9,8844.61,1
69,2016,10,8945.29,1
70,2016,11,7122.47,1
71,2016,12,6118.87,1
72,2017,1,5472.17,1
73,2017,2,5333.18,1
74,2017,3,6762.78,1
75,2017,4,8057.21,1
76,2017,5,9526.72,1
77,2017,6,10706.33,1
78,2017,7,10903.53,1
79,2017,8,10293.39,1
80,2017,9,9501.46,1
81,2017,10,9659.83,1
82,2017,11,7958.02,1
83,2017,12,6867.98,1
84,2018,1,6470.92,1
85,2018,2,5802.74,1
86,2018,3,6950.62,1
87,2018,4,8174.55,1
88,2018,5,9655.46,1
89,2018,6,10485.36,1
90,2018,7,10671.88,1
91,2018,8,10258.67,1
92,2018,9,9510.19,1
93,2018,10,7671.23,1
94,2018,11,7249.09,1
95,2018,12,6331.28,1
96,2019,1,5850.43,1
97,2019,2,4876.09,1
98,2019,3,6232.06,1
99,2019,4,7700.28,1
100,2019,5,8734.45,1
101,2019,6,9816.78,1
102,2019,7,10909.72,1
103,2019,8,10731.6,1
104,2019,9,9135.86,1
105,2019,10,9024.69,1
106,2019,11,7055.81,1
107,2019,12,5713.62,1
108,2020,1,5949.55,1
109,2020,2,5666.94,1
110,2020,3,5906.0,1
111,2020,4,7322.39,1
112,2020,5,9652.6,1
113,2020,6,10399.95,1
114,2020,7,11260.91,1
115,2020,8,11528.09,1
116,2020,9,10062.18,1
117,2020,10,9773.76,1
118,2020,11,8149.63,1
119,2020,12,6968.24,1
120,2021,1,6377.72,1
121,2021,2,5843.31,1
122,2021,3,7083.88,1
123,2021,4,8316.76,1
124,2021,5,9883.66,1
125,2021,6,10915.71,1
126,2021,7,10229.38,1
127,2021,8,9631.84,1
128,2021,9,9053.43,1
129,2021,10,8977.79,1
130,2021,11,7933.29,1
131,2021,12,6726.22,1
132,2022,1,6375.43,1
133,2022,2,6066.06,1
134,2022,3,7077.72,1
135,2022,4,8120.39,1
136,2022,5,9650.86,1
137,2022,6,10364.57,1
138,2022,7,10749.44,1
139,2022,8,9543.43,1
140,2022,9,8994.73,1
141,2022,10,8521.04,1
142,2022,11,7166.5,1
143,2022,12,6500.82,1
144,2023,1,6775.5,1
145,2023,2,6571.18,1
146,2023,3,6711.57,1
