Year,Month,Millions of Gallons
2011,1,6145.24
2011,2,5591.28
2011,3,6888.04
2011,4,7834.14
2011,5,9577.58
2011,6,10679.79
2011,7,11127.25
2011,8,10994.58
2011,9,10113.43
2011,10,9420.2
2011,11,6873.35
2011,12,5785.51
2012,1,5892.14
2012,2,5813.76
2012,3,6656.34
2012,4,7828.9
2012,5,9705.42
2012,6,10636.87
2012,7,10620.65
2012,8,10199.02
2012,9,8751.17
2012,10,9106.48
2012,11,7534.74
2012,12,6203.84
2013,1,5749.06
2013,2,5242.05
2013,3,6471.46
2013,4,7649.11
2013,5,9558
2013,6,10666.77
2013,7,10623.849
2013,8,10234.852
2013,9,8665.64
2013,10,8888.001259
2013,11,6902.094
2013,12,5940.543
2014,1,6001.04
2014,2,5698.08
2014,3,6655.29
2014,4,7875.262
2014,5,9497.41
2014,6,10555.158
2014,7,10847.2259
2014,8,9439.92
2014,9,8085.57
2014,10,8039.8117
2014,11,7318.239
2014,12,5894.9359
2015,1,5796.717
2015,2,5337
2015,3,6728.517
2015,4,7800.66
2015,5,8404.49
2015,6,9658.89
2015,7,10626.27
2015,8,10607.74
2015,9,8872.79
2015,10,8455.32
2015,11,6831.5
2015,12,6231.16
2016,1,5653.66
2016,2,5823.04
2016,3,7191.99
2016,4,7692.9
2016,5,9053.76
2016,6,10607.25
2016,7,11060.39
2016,8,9898.17
2016,9,8844.61
2016,10,8945.29
2016,11,7122.47
2016,12,6118.87
2017,1,5472.17
2017,2,5333.18
2017,3,6762.78
2017,4,8057.21
2017,5,9526.72
2017,6,10706.33
2017,7,10903.53
2017,8,10293.39
2017,9,9501.46
2017,10,9659.83
2017,11,7958.02
2017,12,6867.98
2018,1,6470.92
2018,2,5802.74
2018,3,6950.62
2018,4,8174.55
2018,5,9655.46
2018,6,10485.36
2018,7,10671.88
2018,8,10258.67
2018,9,9510.19
2018,10,7671.23
2018,11,7249.09
2018,12,6331.28
2019,1,5850.43
2019,2,4876.09
2019,3,6232.06
2019,4,7700.28
2019,5,8734.45
2019,6,9816.78
2019,7,10909.72
2019,8,10731.6
2019,9,9135.86
2019,10,9024.69
2019,11,7055.81
2019,12,5713.62
2020,1,5949.55
2020,2,5666.94
2020,3,5906
2020,4,7322.39
2020,5,9652.6
2020,6,10399.95
2020,7,11260.91
2020,8,11528.09
2020,9,10062.18
2020,10,9773.76
2020,11,8149.63
2020,12,6968.24
2021,1,6377.72
2021,2,5843.31
2021,3,7083.88
2021,4,8316.76
2021,5,9883.66
2021,6,10915.71
2021,7,10229.38
2021,8,9631.84
2021,9,9053.43
2021,10,8977.79
2021,11,7933.29
2021,12,6726.22
2022,1,6375.43
2022,2,6066.06
2022,3,7077.72
2022,4,8120.39
2022,5,9650.86
2022,6,10364.57
2022,7,10749.44
2022,8,9543.43
2022,9,8994.73
2022,10,8521.04
2022,11,7166.5
2022,12,6500.82
2023,1,6775.5
2023,2,6571.18
2023,3,6711.57
